ICS_Code,Station
1000162,NORTHOLT
1000164,NORTHWICK PARK
1000165,NORTHWOOD
1000166,NORTHWOOD HILLS
1001216,NORWOOD JUNCTION
1000167,NOTTING HILL GATE
1000168,OAKWOOD
1000169,OLD STREET
1000171,OSTERLEY
1000172,OVAL
1000173,OXFORD CIRCUS
1000174,PADDINGTON (All except H&C)
1000175,PADDINGTON (H&C)
1000176,PARK ROYAL
1000177,PARSONS GREEN
1001225,PENGE WEST
1000178,PERIVALE
1000179,PICCADILLY CIRCUS
1000180,PIMLICO
1000181,PINNER
1000182,PLAISTOW
1002099,PONTOON DOCK
1002064,POPLAR
1000183,PRESTON ROAD
1002065,PRINCE REGENT
1002066,PUDDING MILL LANE
1000184,PUTNEY BRIDGE
1000186,QUEENS PARK
1000185,QUEENSBURY
1000187,QUEENSWAY
1000188,RAVENSCOURT PARK
1000189,RAYNERS LANE
1001238,RECTORY ROAD
1000190,REDBRIDGE
1000191,REGENT'S PARK
1000192,RICHMOND
1000193,RICKMANSWORTH
1000194,RODING VALLEY
1001243,ROMFORD
1000195,ROTHERHITHE
1002070,ROYAL ALBERT
1000196,ROYAL OAK
1002071,ROYAL VICTORIA
1000197,RUISLIP
1000198,RUISLIP GARDENS
1000199,RUISLIP MANOR
1000200,RUSSELL SQUARE
1000221,ST JAMES'S PARK
1001268,ST JAMES'S STREET
1000222,ST JOHN'S WOOD
1000225,ST PAUL'S
1001246,SEVEN KINGS
1000201,SEVEN SISTERS
1000202,SHADWELL
1006448,SHENFIELD
1000203,SHEPHERD'S BUSH (CENTRAL LINE)
1000204,SHEPHERD'S BUSH MARKET
1001348,SHEPHERD'S BUSH (NATIONAL RAIL)
1001571,SHOREDITCH HIGH STREET
1001250,SILVER STREET
1000206,SLOANE SQUARE
1000207,SNARESBROOK
1001254,SOUTH ACTON
1000208,SOUTH EALING
1001260,SOUTH HAMPSTEAD
1000211,SOUTH HARROW
1000212,SOUTH KENSINGTON
1000213,SOUTH KENTON
1002074,SOUTH QUAY
1000214,SOUTH RUISLIP
1001264,SOUTH TOTTENHAM
1000216,SOUTH WIMBLEDON
1000217,SOUTH WOODFORD
1001257,SOUTHBURY
1000209,SOUTHFIELDS
1000210,SOUTHGATE
1000215,SOUTHWARK
1000218,STAMFORD BROOK
1001265,STAMFORD HILL
1000219,STANMORE
1003005,STAR LANE
1000220,STEPNEY GREEN
1000223,STOCKWELL
1001273,STOKE NEWINGTON
1000224,STONEBRIDGE PARK
1000226,STRATFORD
1003007,STRATFORD HIGH STREET
1003009,STRATFORD INTERNATIONAL
1000227,SUDBURY HILL
1000228,SUDBURY TOWN
1000229,SURREY QUAYS
1000230,SWISS COTTAGE
1001289,SYDENHAM
1000231,TEMPLE
1001533,THEOBALDS GROVE
1000232,THEYDON BOIS
1000233,TOOTING BEC
1000234,TOOTING BROADWAY
1000235,TOTTENHAM COURT ROAD
1000236,TOTTENHAM HALE
1000237,TOTTERIDGE & WHETSTONE
1002076,TOWER GATEWAY
1000238,TOWER HILL
1000239,TUFNELL PARK
1001299,TURKEY STREET
1000240,TURNHAM GREEN
1000241,TURNPIKE LANE
1000242,UPMINSTER
1000243,UPMINSTER BRIDGE
1000244,UPNEY
1001302,UPPER HOLLOWAY
1000245,UPTON PARK
1000246,UXBRIDGE
1000247,VAUXHALL
1000248,VICTORIA
1000249,WALTHAMSTOW CENTRAL
1001308,WALTHAMSTOW QUEENS ROAD
1000250,WANSTEAD
1001312,WANSTEAD PARK
1000251,WAPPING
1000252,WARREN STREET
1000253,WARWICK AVENUE
1000254,WATERLOO
1000255,WATFORD
1001316,WATFORD HIGH STREET
1001317,WATFORD JUNCTION
1000256,WEMBLEY CENTRAL
1000257,WEMBLEY PARK
1000258,WEST ACTON
1000260,WEST BROMPTON
1001324,WEST CROYDON
1002083,WESTFERRY
1000261,WEST FINCHLEY
1000262,WEST HAM
1000263,WEST HAMPSTEAD
1000264,WEST HARROW
1002084,WEST INDIA QUAY
1000265,WEST KENSINGTON
1000267,WEST RUISLIP
1002098,WEST SILVERTOWN
1000259,WESTBOURNE PARK
1000266,WESTMINSTER
1000269,WHITE CITY
1000268,WHITECHAPEL
1001335,WHITE HART LANE
1000270,WILLESDEN GREEN
1000271,WILLESDEN JUNCTION
1000272,WIMBLEDON
1000273,WIMBLEDON PARK
1001341,WOODGRANGE PARK
1000275,WOOD GREEN
1000278,WOOD LANE
1001343,WOOD STREET
1000274,WOODFORD
1000276,WOODSIDE PARK
1003000,WOOLWICH ARSENAL
